model_label,seed,radius,event_path,final__charts/episodic_return,max__charts/episodic_return,mean__charts/episodic_return,final__eval/episodic_return,max__eval/episodic_return,mean__eval/episodic_return,final__losses/qf_loss,max__losses/qf_loss,mean__losses/qf_loss,final__losses/actor_loss,max__losses/actor_loss,mean__losses/actor_loss,final__kl_physical/requested_radius,max__kl_physical/requested_radius,mean__kl_physical/requested_radius,final__kl_physical/worst_case_saturation_fraction,max__kl_physical/worst_case_saturation_fraction,mean__kl_physical/worst_case_saturation_fraction,final__kl_physical/joint_return_std_across_dynamics,max__kl_physical/joint_return_std_across_dynamics,mean__kl_physical/joint_return_std_across_dynamics,final__kl_physical/reference_target_mean,max__kl_physical/reference_target_mean,mean__kl_physical/reference_target_mean,final__kl_physical/robust_target_mean,max__kl_physical/robust_target_mean,mean__kl_physical/robust_target_mean,final__kl_physical/worst_member_target_mean,max__kl_physical/worst_member_target_mean,mean__kl_physical/worst_member_target_mean,final__kl_physical/pessimism_gap_mean,max__kl_physical/pessimism_gap_mean,mean__kl_physical/pessimism_gap_mean,final__kl_physical/pessimism_gap_p95,max__kl_physical/pessimism_gap_p95,mean__kl_physical/pessimism_gap_p95,final__kl_physical/implicit_kl_radius_mean,max__kl_physical/implicit_kl_radius_mean,mean__kl_physical/implicit_kl_radius_mean,final__kl_physical/implicit_kl_radius_p95,max__kl_physical/implicit_kl_radius_p95,mean__kl_physical/implicit_kl_radius_p95,final__kl_physical/worst_member_adversarial_weight_mean,max__kl_physical/worst_member_adversarial_weight_mean,mean__kl_physical/worst_member_adversarial_weight_mean,final__kl_physical/effective_num_dynamics_mean,max__kl_physical/effective_num_dynamics_mean,mean__kl_physical/effective_num_dynamics_mean,final__kl_physical/nominal_obs_max_abs_error,max__kl_physical/nominal_obs_max_abs_error,mean__kl_physical/nominal_obs_max_abs_error,final__kl_physical/nominal_reward_abs_error,max__kl_physical/nominal_reward_abs_error,mean__kl_physical/nominal_reward_abs_error,final__charts/SPS,max__charts/SPS,mean__charts/SPS,max_step,training_return_auc,final__kl_physical/effective_beta_median,max__kl_physical/effective_beta_median,mean__kl_physical/effective_beta_median,final__kl_physical/effective_beta_mean,max__kl_physical/effective_beta_mean,mean__kl_physical/effective_beta_mean,paired_nominal_retention,paired_training_auc_retention,paired_q_loss_ratio
vanilla,6,,/home/users/am1015/rl_runs_td3_klrho_20260724_td3_klrho_phys5_full30_confirm_compat/Walker2d-v5__td3_klrho_vanilla__6__1784893987/events.out.tfevents.1784893990.linux45.526884.0,3942.9273681640625,4094.44580078125,1134.608902426535,3973.776123046875,3986.800537109375,3973.752685546875,9.56326961517334,66.33009338378906,12.596578818884144,-320.21063232421875,-0.3303501009941101,-233.62478169745967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,1961.0,56.687147399733306,999900,2975.7010843530297,,,,,,,1.0,1.0,1.0
vanilla,7,,/home/users/am1015/rl_runs_td3_klrho_20260724_td3_klrho_phys5_full30_confirm_compat/Walker2d-v5__td3_klrho_vanilla__7__1784893987/events.out.tfevents.1784893989.gpu-compute4.1296259.0,3656.134033203125,3800.406494140625,742.7148259211789,3709.4271240234375,3784.4462890625,3709.0595947265624,12.945556640625,63.73465347290039,14.050382215504078,-250.4566192626953,-0.5818975567817688,-186.57815068357968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,1928.0,57.116935070263615,999900,1423.1776717220894,,,,,,,1.0,1.0,1.0
vanilla,8,,/home/users/am1015/rl_runs_td3_klrho_20260724_td3_klrho_phys5_full30_confirm_compat/Walker2d-v5__td3_klrho_vanilla__8__1784893986/events.out.tfevents.1784893989.gpu-compute5.778376.0,3100.934326171875,3225.06884765625,849.9961032734941,3105.150390625,3116.238037109375,3100.94677734375,8.479721069335938,99.01294708251953,12.523400598274694,-250.78570556640625,-0.41550636291503906,-179.09840609172832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,1884.0,56.17335111293466,999900,2000.7516534996755,,,,,,,1.0,1.0,1.0
vanilla,9,,/home/users/am1015/rl_runs_td3_klrho_20260724_td3_klrho_phys5_full30_confirm_compat/Walker2d-v5__td3_klrho_vanilla__9__1784894167/events.out.tfevents.1784894169.linux51.254108.0,3728.51171875,3803.64111328125,953.4696763324822,3715.6436767578125,3732.44140625,3709.14365234375,11.24912166595459,157.720458984375,15.198279356539054,-286.49658203125,-0.41449490189552307,-198.8574937295059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,2180.0,59.07528977331008,999950,2629.4887915566715,,,,,,,1.0,1.0,1.0
vanilla,10,,/home/users/am1015/rl_runs_td3_klrho_20260724_td3_klrho_phys5_full30_confirm_compat/Walker2d-v5__td3_klrho_vanilla__10__1784899030/events.out.tfevents.1784899032.compsci-cluster-fitz-07.4056803.0,4527.040771484375,4610.92431640625,849.6685929932087,4481.33203125,4522.5927734375,4488.855810546875,16.945636749267578,131.35848999023438,15.693481422672257,-315.22894287109375,-0.373712420463562,-203.44035343095356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,2562.0,56.08493178787568,999900,2452.874389780892,,,,,,,1.0,1.0,1.0
vanilla,11,,/home/users/am1015/rl_runs_td3_klrho_20260724_td3_klrho_phys5_full30_confirm_compat/Walker2d-v5__td3_klrho_vanilla__11__1784899330/events.out.tfevents.1784899332.gpu-compute6.268475.0,4083.664306640625,4433.76806640625,1100.8646809543716,4107.6865234375,4208.97705078125,3960.6654541015623,17.102142333984375,146.75967407226562,18.29692760525228,-316.63116455078125,-0.039849065244197845,-225.02022661707767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,1967.0,54.13385988306493,999900,2921.3634955611346,,,,,,,1.0,1.0,1.0
vanilla,12,,/home/users/am1015/rl_runs_td3_klrho_20260724_td3_klrho_phys5_full30_confirm_compat/Walker2d-v5__td3_klrho_vanilla__12__1784899660/events.out.tfevents.1784899663.gpu-compute6.268801.0,3818.3543701171875,3996.21826171875,898.7932387291195,3838.3587646484375,3897.703369140625,3838.5684326171877,15.335810661315918,97.19627380371094,16.848825339391844,-277.35516357421875,-0.36119315028190613,-187.90637991949342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,1999.0,53.321468868601904,999900,2384.9821290494215,,,,,,,1.0,1.0,1.0
vanilla,13,,/home/users/am1015/rl_runs_td3_klrho_20260724_td3_klrho_phys5_full30_confirm_compat/Walker2d-v5__td3_klrho_vanilla__13__1784899900/events.out.tfevents.1784899903.gpu-compute6.269063.0,4247.48681640625,4420.9853515625,985.9153719288449,4296.593017578125,4335.216796875,4294.174365234375,18.191856384277344,112.1214599609375,21.658233842106032,-327.1205139160156,-0.19758446514606476,-216.75149021494028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,1884.0,53.80131295517489,999900,2772.400974926473,,,,,,,1.0,1.0,1.0
vanilla,14,,/home/users/am1015/rl_runs_td3_klrho_20260724_td3_klrho_phys5_full30_confirm_compat/Walker2d-v5__td3_klrho_vanilla__14__1784899990/events.out.tfevents.1784899992.compsci-cluster-fitz-07.4057647.0,3858.6778564453125,3950.68115234375,740.7354526722867,3888.1463623046875,3917.6826171875,3893.40986328125,18.404460906982422,433.3092041015625,19.542164277270434,-264.0748291015625,-0.2624254524707794,-175.75137836020755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,2540.0,53.89855369781516,999900,2019.6462735403518,,,,,,,1.0,1.0,1.0
vanilla,15,,/home/users/am1015/rl_runs_td3_klrho_20260724_td3_klrho_phys5_full30_confirm_compat/Walker2d-v5__td3_klrho_vanilla__15__1784900111/events.out.tfevents.1784900114.compsci-cluster-fitz-08.3992031.0,3634.003662109375,3883.537353515625,773.1811936951428,3651.4156494140625,3750.021240234375,3452.421435546875,23.145666122436523,110.83084869384766,19.556293661859474,-257.1533203125,-0.2897685170173645,-178.4619895435013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,2285.0,54.5176941224741,999900,2213.3677475828713,,,,,,,1.0,1.0,1.0
