timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,deterministic_eval,xml_perturb,obs_noise_std,reward_noise_std,action_noise_std,action_replace_prob,xml_total_mass_scale,xml_body_mass_scale,xml_body_name_selector,xml_geom_friction_scale,xml_geom_friction_component,xml_geom_name_selector,xml_gravity_component_index,xml_gravity_component_value,xml_joint_damping_scale,xml_joint_name_selector,xml_actuator_gain_scale,xml_actuator_bias_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return,xml_actuator_joint_selector
1783521189,eval__Walker2d-v4__td3__klb0p5__foot_left_actuator_gain_0p1__seed1__pid1579170,td3,Walker2d-v4,1,20,1,klb0p5,foot_left_actuator_gain_0p1,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__1__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__1__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.1,1.0,347.293168472119,15.290757494965007,343.01285963527215,346.76640273807186,317.3499205629601,370.98298404980727,foot_left_joint
1783521193,eval__Walker2d-v4__td3__klb0p5__foot_left_actuator_gain_0p1__seed2__pid1579229,td3,Walker2d-v4,2,20,1,klb0p5,foot_left_actuator_gain_0p1,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__2__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__2__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.1,1.0,237.1378743990013,26.384594180614805,243.18265466160696,241.2465560223397,192.88546048851876,273.0482956312181,foot_left_joint
1783521200,eval__Walker2d-v4__td3__klb0p5__foot_left_actuator_gain_0p1__seed3__pid1579312,td3,Walker2d-v4,3,20,1,klb0p5,foot_left_actuator_gain_0p1,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__3__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__3__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.1,1.0,347.98089581831925,156.95014114580388,344.3875958875499,347.76193625565435,78.30990923544628,583.1211615126967,foot_left_joint
1783521205,eval__Walker2d-v4__td3__klb0p5__foot_left_actuator_gain_0p1__seed4__pid1579348,td3,Walker2d-v4,4,20,1,klb0p5,foot_left_actuator_gain_0p1,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__4__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__4__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.1,1.0,359.348784240312,89.05645602112688,361.42994818871625,357.33418343420203,192.05095310115507,554.0822034982023,foot_left_joint
1783521210,eval__Walker2d-v4__td3__klb0p5__foot_left_actuator_gain_0p1__seed5__pid1579457,td3,Walker2d-v4,5,20,1,klb0p5,foot_left_actuator_gain_0p1,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__5__1783289936/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__5__1783289936/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.1,1.0,296.80585420291123,106.27371014789279,303.2906634134939,299.92093598660784,110.8556391342392,477.25607217691675,foot_left_joint
1783521215,eval__Walker2d-v4__td3__klb0p5__foot_left_actuator_gain_0p2__seed1__pid1579516,td3,Walker2d-v4,1,20,1,klb0p5,foot_left_actuator_gain_0p2,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__1__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__1__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.2,1.0,358.03162420400383,31.973631287114216,352.02768267391195,352.7113915496925,327.5663230381436,474.19408938404774,foot_left_joint
1783521220,eval__Walker2d-v4__td3__klb0p5__foot_left_actuator_gain_0p2__seed2__pid1579564,td3,Walker2d-v4,2,20,1,klb0p5,foot_left_actuator_gain_0p2,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__2__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__2__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.2,1.0,250.28105229419634,23.3335935019276,245.9168812118196,246.6331059167293,210.2734268797144,306.4470540127036,foot_left_joint
1783521227,eval__Walker2d-v4__td3__klb0p5__foot_left_actuator_gain_0p2__seed3__pid1579672,td3,Walker2d-v4,3,20,1,klb0p5,foot_left_actuator_gain_0p2,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__3__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__3__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.2,1.0,374.3380882084588,230.7666835373501,387.42883357981225,366.657608182215,35.811908205808216,865.0653210751665,foot_left_joint
1783521233,eval__Walker2d-v4__td3__klb0p5__foot_left_actuator_gain_0p2__seed4__pid1579743,td3,Walker2d-v4,4,20,1,klb0p5,foot_left_actuator_gain_0p2,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__4__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__4__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.2,1.0,386.70412998278516,219.96099577414392,302.38353251067,311.0993933908595,228.35322656280587,1016.5453066253982,foot_left_joint
1783521237,eval__Walker2d-v4__td3__klb0p5__foot_left_actuator_gain_0p2__seed5__pid1579841,td3,Walker2d-v4,5,20,1,klb0p5,foot_left_actuator_gain_0p2,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__5__1783289936/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__5__1783289936/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.2,1.0,121.37096416078637,33.06452076396242,104.41409738061809,108.00713003672293,96.61393111836466,205.39695953620853,foot_left_joint
